data,anno,id_pratica,id_cliente,filiale,filiale_brand_prevalente,venditore,venditore_brand_prevalente,categoria_prodotto,data_prima_immatricolazione,anzianita_mesi,km_attuali,canale,giacenza_giorni,giacenza_fascia,over150_flag,fascia_prezzo,sconto_applicato_eur,marca,modello,importo_fattura,finanziamento,tipo_prodotto_fi,istituto_finanziario,durata_mesi,importo_finanziato,tipo_cliente,pacchetto_assicurativo,estensione_garanzia,margine_servizi_eur,margine_ferro_eur,margine_totale_eur
2025-11-24,2025,PR-25-06525,CL-25-106525,Filiale 2,BMW,VEND_Filiale2_01,BMW,NUOVO,2025-10-29,0,117,Lead,39,1-90,NO,>60000,1556,BMW,Serie 3,82069,NO,,,,0,Privato,NO,SI,1015,4159,5174
2025-11-14,2025,PR-25-06526,CL-25-106526,Filiale 3,Mercedes,VEND_Filiale3_03,Mercedes,NUOVO,2025-10-03,1,12,Showroom,3,1-90,NO,<=60000,127,BMW,X5,42159,NO,,,,0,Azienda,SI,NO,948,2830,3778
2025-02-04,2025,PR-25-06527,CL-25-106527,Filiale 2,BMW,VEND_Filiale2_02,BMW,KM0,2024-12-23,1,815,Showroom,47,1-90,NO,<=60000,538,BMW,Serie 3,36504,NO,,,,0,Privato,NO,SI,1351,1916,3267
2025-11-16,2025,PR-25-06528,CL-25-106528,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,USATO,2025-04-07,7,10000,Showroom,64,1-90,NO,>60000,2387,Mercedes,Classe A,65717,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,55952,Privato,NO,NO,664,2020,2684
2025-12-09,2025,PR-25-06529,CL-25-106529,Filiale 10,Hyundai,VEND_Filiale10_01,Hyundai,NUOVO,2025-11-25,0,73,B2B,16,1-90,NO,<=60000,214,Hyundai,Kona,37522,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,27167,Azienda,NO,NO,372,2583,2955
2025-12-24,2025,PR-25-06530,CL-25-106530,Filiale 7,KIA,VEND_Filiale7_02,KIA,NUOVO,2025-12-13,0,182,Showroom,66,1-90,NO,>60000,421,KIA,Sorento,64781,NO,,,,0,Privato,NO,NO,0,4077,4077
2024-04-02,2024,PR-24-05377,CL-24-105377,Filiale 10,Hyundai,VEND_Filiale10_01,Hyundai,USATO,2021-07-30,32,39964,Web,219,>=150,SI,<=60000,1148,Hyundai,i20,18410,NO,,,,0,Privato,NO,NO,103,381,484
2025-03-01,2025,PR-25-06531,CL-25-106531,Filiale 6,MINI,VEND_Filiale6_01,MINI,KM0,2024-11-14,3,3710,Showroom,28,1-90,NO,<=60000,722,MINI,Cooper S,31531,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,20970,Privato,SI,SI,2530,1300,3830
2024-05-25,2024,PR-24-05378,CL-24-105378,Filiale 8,KIA,VEND_Filiale8_03,KIA,NUOVO,2024-05-20,0,131,Showroom,16,1-90,NO,<=60000,457,KIA,Niro,28565,SI,MAXIRATA,FIN_AUTO_ONE,36.0,18089,Privato,SI,SI,2419,1449,3868
2024-04-28,2024,PR-24-05379,CL-24-105379,Filiale 10,Hyundai,VEND_Filiale10_02,MINI,USATO,2023-01-15,15,18819,Remarketing,148,90-150,NO,<=60000,1360,MINI,Cooper S,31873,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,17869,Privato,SI,SI,2236,841,3077
2025-04-18,2025,PR-25-06532,CL-25-106532,Filiale 1,BMW,VEND_Filiale1_07,MINI,NUOVO,2025-04-04,0,20,Web,20,1-90,NO,<=60000,315,MINI,Cooper,46090,NO,,,,0,Azienda,NO,NO,0,1766,1766
2025-12-18,2025,PR-25-06533,CL-25-106533,Filiale 2,BMW,VEND_Filiale2_06,Mercedes,USATO,2022-02-09,46,46522,Remarketing,106,90-150,NO,<=60000,1033,Mercedes,GLA,38931,NO,,,,0,Privato,NO,NO,0,2118,2118
2025-07-29,2025,PR-25-06534,CL-25-106534,Filiale 7,KIA,VEND_Filiale7_03,KIA,NUOVO,2025-05-30,1,5,B2B,7,1-90,NO,>60000,1189,BMW,X5,93199,NO,,,,0,Privato,SI,NO,1061,3061,4122
2024-03-15,2024,PR-24-05380,CL-24-105380,Filiale 7,KIA,VEND_Filiale7_03,KIA,NUOVO,2024-03-03,0,70,Web,74,1-90,NO,<=60000,211,KIA,Niro,22024,NO,,,,0,Privato,NO,NO,138,1238,1376
2025-03-11,2025,PR-25-06535,CL-25-106535,Filiale 2,BMW,VEND_Filiale2_01,BMW,NUOVO,2025-01-20,1,79,Showroom,3,1-90,NO,>60000,401,BMW,Serie 1,85224,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,66303,Privato,SI,NO,1942,3537,5479
2024-08-14,2024,PR-24-05381,CL-24-105381,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,USATO,2019-06-16,61,52922,Showroom,197,>=150,SI,<=60000,2230,Hyundai,Kona,40404,SI,FINANZIAMENTO,FIN_AUTO_ONE,36.0,34043,Privato,SI,SI,3363,200,3563
2025-11-20,2025,PR-25-06536,CL-25-106536,Filiale 9,Hyundai,VEND_Filiale9_03,KIA,NUOVO,2025-10-29,0,133,Lead,20,1-90,NO,<=60000,547,KIA,Niro,41380,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,25045,Privato,NO,SI,1936,2725,4661
2025-10-19,2025,PR-25-06537,CL-25-106537,Filiale 2,BMW,VEND_Filiale2_05,BMW,USATO,2022-06-05,40,34659,Showroom,23,1-90,NO,<=60000,1504,Hyundai,Kona,49610,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,40626,Privato,NO,NO,889,2483,3372
2024-03-15,2024,PR-24-05382,CL-24-105382,Filiale 1,BMW,VEND_Filiale1_01,BMW,NUOVO,2024-03-03,0,62,B2B,13,1-90,NO,>60000,372,BMW,X1,79822,NO,,,,0,Azienda,SI,NO,998,3035,4033
2024-06-21,2024,PR-24-05383,CL-24-105383,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,USATO,2018-01-31,76,76351,Showroom,127,90-150,NO,<=60000,2078,Hyundai,i20,34405,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,28253,Privato,SI,SI,2716,220,2936
2024-12-24,2024,PR-24-05384,CL-24-105384,Filiale 10,Hyundai,VEND_Filiale10_01,Hyundai,USATO,2016-03-27,104,121125,Lead,49,1-90,NO,<=60000,275,Hyundai,Kona,35472,SI,FINANZIAMENTO,FIN_AUTO_ONE,24.0,30806,Privato,SI,SI,3118,2502,5620
2025-07-14,2025,PR-25-06538,CL-25-106538,Filiale 5,MINI,VEND_Filiale5_04,Hyundai,NUOVO,2025-06-16,0,152,Showroom,9,1-90,NO,<=60000,978,Hyundai,Tucson,56943,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,39279,Privato,SI,SI,2645,2011,4656
2024-02-22,2024,PR-24-05385,CL-24-105385,Filiale 5,MINI,VEND_Filiale5_02,MINI,NUOVO,2024-02-10,0,158,Lead,51,1-90,NO,<=60000,534,MINI,Clubman,45226,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,33556,Azienda,SI,NO,2322,1273,3595
2024-10-14,2024,PR-24-05386,CL-24-105386,Filiale 1,BMW,VEND_Filiale1_01,BMW,KM0,2024-09-09,1,1533,Showroom,22,1-90,NO,<=60000,283,MINI,Cooper S,24064,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,20996,Privato,SI,NO,1932,1404,3336
2024-05-16,2024,PR-24-05387,CL-24-105387,Filiale 1,BMW,VEND_Filiale1_03,BMW,KM0,2024-01-29,3,1202,Web,69,1-90,NO,>60000,665,BMW,X5,82834,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,64162,Privato,SI,SI,2273,4987,7260
2024-11-22,2024,PR-24-05388,CL-24-105388,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2024-11-01,0,111,Showroom,29,1-90,NO,<=60000,888,BMW,X3,54153,NO,,,,0,Privato,NO,NO,0,1778,1778
2024-04-11,2024,PR-24-05389,CL-24-105389,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,USATO,2021-12-02,27,10000,Showroom,8,1-90,NO,>60000,2094,Mercedes,Classe B,70335,NO,,,,0,Azienda,NO,SI,725,5038,5763
2025-09-01,2025,PR-25-06539,CL-25-106539,Filiale 7,KIA,VEND_Filiale7_04,Hyundai,USATO,2024-10-25,9,10000,Showroom,15,1-90,NO,<=60000,924,Hyundai,Kona,28397,NO,,,,0,Privato,NO,SI,1118,1066,2184
2025-10-20,2025,PR-25-06540,CL-25-106540,Filiale 6,MINI,VEND_Filiale6_04,Mercedes,USATO,2024-08-16,14,10000,Showroom,63,1-90,NO,<=60000,206,MINI,Countryman,32387,NO,,,,0,Privato,NO,SI,735,2346,3081
2024-10-21,2024,PR-24-05390,CL-24-105390,Filiale 10,Hyundai,VEND_Filiale10_01,Hyundai,NUOVO,2024-08-31,1,145,Showroom,8,1-90,NO,<=60000,200,Hyundai,i30,24352,SI,LEASING,FIN_LEASE_GROUP,48.0,16607,Azienda,SI,SI,2160,1506,3666
2025-10-22,2025,PR-25-06541,CL-25-106541,Filiale 3,Mercedes,VEND_Filiale3_05,BMW,KM0,2025-09-06,1,1909,Showroom,27,1-90,NO,>60000,2440,Mercedes,GLA,70797,SI,MAXIRATA,FIN_AUTO_ONE,48.0,57804,Privato,SI,NO,1943,309,2252
2024-02-20,2024,PR-24-05391,CL-24-105391,Filiale 8,KIA,VEND_Filiale8_01,KIA,KM0,2023-12-01,2,1855,Web,77,1-90,NO,<=60000,203,KIA,Sportage,52514,NO,,,,0,Privato,SI,NO,999,3521,4520
2024-10-18,2024,PR-24-05392,CL-24-105392,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,NUOVO,2024-10-09,0,24,Lead,23,1-90,NO,<=60000,907,Hyundai,i20,55843,NO,,,,0,Privato,SI,NO,800,3615,4415
2025-05-06,2025,PR-25-06542,CL-25-106542,Filiale 5,MINI,VEND_Filiale5_05,KIA,USATO,2023-09-28,19,42993,Remarketing,88,1-90,NO,<=60000,944,KIA,Sorento,48806,NO,,,,0,Privato,SI,NO,1812,2657,4469
2024-01-17,2024,PR-24-05393,CL-24-105393,Filiale 2,BMW,VEND_Filiale2_03,BMW,USATO,2022-11-28,13,10000,Remarketing,20,1-90,NO,<=60000,1461,BMW,X5,44195,NO,,,,0,Privato,SI,SI,1227,1427,2654
2024-12-12,2024,PR-24-05394,CL-24-105394,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,NUOVO,2024-12-07,0,126,B2B,5,1-90,NO,>60000,583,Mercedes,Classe A,61437,SI,MAXIRATA,FIN_AUTO_ONE,48.0,38606,Privato,SI,NO,1571,3778,5349
2025-03-15,2025,PR-25-06543,CL-25-106543,Filiale 5,MINI,VEND_Filiale5_02,MINI,USATO,2023-04-27,22,18521,Web,12,1-90,NO,<=60000,357,KIA,Niro,20007,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,16476,Privato,SI,SI,2678,2307,4985
2024-01-13,2024,PR-24-05395,CL-24-105395,Filiale 7,KIA,VEND_Filiale7_01,KIA,NUOVO,2023-12-02,1,105,Web,20,1-90,NO,<=60000,429,KIA,Ceed,37600,NO,,,,0,Azienda,SI,NO,849,2321,3170
2025-08-05,2025,PR-25-06544,CL-25-106544,Filiale 5,MINI,VEND_Filiale5_04,Hyundai,NUOVO,2025-06-19,1,91,Lead,6,1-90,NO,<=60000,351,MINI,Countryman,35160,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,28037,Privato,SI,NO,1375,1451,2826
2025-09-20,2025,PR-25-06545,CL-25-106545,Filiale 4,Mercedes,VEND_Filiale4_04,Mercedes,USATO,2020-12-10,57,57720,Showroom,112,90-150,NO,>60000,4622,Mercedes,Classe B,67558,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,42407,Privato,SI,NO,1736,415,2151
2025-10-26,2025,PR-25-06546,CL-25-106546,Filiale 8,KIA,VEND_Filiale8_03,KIA,USATO,2023-01-09,33,45456,Showroom,43,1-90,NO,<=60000,789,KIA,Sportage,49318,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,28998,Privato,SI,NO,2467,3689,6156
2025-06-03,2025,PR-25-06547,CL-25-106547,Filiale 1,BMW,VEND_Filiale1_06,BMW,NUOVO,2025-05-08,0,138,Lead,20,1-90,NO,>60000,206,BMW,Serie 2,89747,NO,,,,0,Privato,NO,NO,0,4515,4515
2025-03-23,2025,PR-25-06548,CL-25-106548,Filiale 5,MINI,VEND_Filiale5_02,MINI,USATO,2023-08-30,18,34333,Showroom,86,1-90,NO,<=60000,965,MINI,Cooper SE,41764,NO,,,,0,Privato,SI,SI,1745,1609,3354
2025-01-23,2025,PR-25-06549,CL-25-106549,Filiale 7,KIA,VEND_Filiale7_01,KIA,NUOVO,2024-12-04,1,37,Lead,49,1-90,NO,<=60000,426,KIA,Ceed,32601,SI,MAXIRATA,FIN_AUTO_ONE,48.0,21684,Privato,SI,SI,3286,1029,4315
2024-10-29,2024,PR-24-05396,CL-24-105396,Filiale 8,KIA,VEND_Filiale8_01,KIA,NUOVO,2024-10-26,0,103,Showroom,11,1-90,NO,<=60000,330,KIA,Stonic,52656,NO,,,,0,Privato,NO,NO,103,2304,2407
2025-04-23,2025,PR-25-06550,CL-25-106550,Filiale 8,KIA,VEND_Filiale8_03,KIA,NUOVO,2025-03-29,0,21,Showroom,6,1-90,NO,<=60000,328,Hyundai,i30,55816,NO,,,,0,Azienda,SI,SI,1170,3945,5115
2024-05-15,2024,PR-24-05397,CL-24-105397,Filiale 2,BMW,VEND_Filiale2_02,BMW,USATO,2022-09-29,19,10000,Showroom,16,1-90,NO,<=60000,120,BMW,X1,23336,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,12992,Privato,SI,SI,2737,1371,4108
2024-10-21,2024,PR-24-05398,CL-24-105398,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,USATO,2018-03-18,79,64375,Showroom,48,1-90,NO,<=60000,710,Hyundai,Santa Fe,30149,NO,,,,0,Privato,NO,NO,0,1818,1818
2024-11-04,2024,PR-24-05399,CL-24-105399,Filiale 3,Mercedes,VEND_Filiale3_06,MINI,NUOVO,2024-10-13,0,87,Lead,26,1-90,NO,<=60000,100,MINI,Countryman,30050,SI,LEASING,FIN_LEASE_GROUP,60.0,18426,Privato,NO,NO,597,1979,2576
2025-11-16,2025,PR-25-06551,CL-25-106551,Filiale 5,MINI,VEND_Filiale5_01,MINI,NUOVO,2025-11-09,0,20,Web,5,1-90,NO,<=60000,12,MINI,Cooper SE,40994,NO,,,,0,Privato,NO,NO,48,2644,2692
2025-09-18,2025,PR-25-06552,CL-25-106552,Filiale 1,BMW,VEND_Filiale1_06,BMW,NUOVO,2025-07-27,1,45,Lead,24,1-90,NO,<=60000,756,BMW,X3,45536,SI,RENTING,FIN_MOBILITY,60.0,37150,Azienda,NO,SI,1873,1208,3081
2025-12-12,2025,PR-25-06553,CL-25-106553,Filiale 1,BMW,VEND_Filiale1_05,BMW,NUOVO,2025-12-12,0,100,Remarketing,17,1-90,NO,<=60000,64,MINI,Cooper,27528,NO,,,,0,Privato,NO,NO,66,1116,1182
2025-05-04,2025,PR-25-06554,CL-25-106554,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,USATO,2024-01-22,15,10000,Showroom,63,1-90,NO,<=60000,248,Hyundai,i20,38453,NO,,,,0,Privato,NO,NO,0,3661,3661
2024-02-04,2024,PR-24-05400,CL-24-105400,Filiale 3,Mercedes,VEND_Filiale3_01,Mercedes,NUOVO,2024-01-13,0,42,Lead,28,1-90,NO,<=60000,694,Mercedes,Classe B,58203,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,36472,Privato,NO,SI,1244,2307,3551
2024-05-03,2024,PR-24-05401,CL-24-105401,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,NUOVO,2024-04-01,1,54,Lead,39,1-90,NO,>60000,815,Mercedes,Classe B,70237,NO,,,,0,Privato,NO,NO,0,2431,2431
2024-12-24,2024,PR-24-05402,CL-24-105402,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2024-11-17,1,27,Showroom,4,1-90,NO,>60000,771,BMW,Serie 1,79997,SI,RENTING,FIN_MOBILITY,36.0,60885,Privato,SI,NO,1012,4165,5177
2024-02-23,2024,PR-24-05403,CL-24-105403,Filiale 7,KIA,VEND_Filiale7_02,KIA,NUOVO,2024-02-17,0,159,Showroom,18,1-90,NO,<=60000,4,KIA,Ceed,38902,SI,MAXIRATA,FIN_AUTO_ONE,48.0,30305,Privato,SI,NO,1339,1916,3255
2025-03-27,2025,PR-25-06555,CL-25-106555,Filiale 2,BMW,VEND_Filiale2_04,BMW,NUOVO,2025-03-09,0,43,Showroom,1,1-90,NO,<=60000,776,BMW,Serie 2,51803,NO,,,,0,Privato,SI,NO,1082,2977,4059
2024-05-28,2024,PR-24-05404,CL-24-105404,Filiale 8,KIA,VEND_Filiale8_02,KIA,NUOVO,2024-05-20,0,137,Web,11,1-90,NO,<=60000,144,KIA,Niro,52234,NO,,,,0,Privato,NO,NO,130,2513,2643
2024-06-01,2024,PR-24-05405,CL-24-105405,Filiale 5,MINI,VEND_Filiale5_01,MINI,NUOVO,2024-05-22,0,95,Web,33,1-90,NO,<=60000,514,MINI,Clubman,52949,NO,,,,0,Privato,SI,SI,2347,3319,5666
2025-02-26,2025,PR-25-06556,CL-25-106556,Filiale 1,BMW,VEND_Filiale1_02,BMW,NUOVO,2025-01-09,1,183,Web,24,1-90,NO,>60000,591,BMW,Serie 3,92636,NO,,,,0,Privato,NO,NO,0,4588,4588
2025-03-10,2025,PR-25-06557,CL-25-106557,Filiale 2,BMW,VEND_Filiale2_01,BMW,USATO,2018-09-01,78,97323,Showroom,85,1-90,NO,<=60000,577,BMW,Serie 2,53359,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,43219,Privato,SI,SI,1803,3831,5634
2024-10-11,2024,PR-24-05406,CL-24-105406,Filiale 7,KIA,VEND_Filiale7_01,KIA,NUOVO,2024-08-18,1,91,Showroom,72,1-90,NO,<=60000,408,KIA,Ceed,30661,SI,RENTING,FIN_MOBILITY,36.0,17484,Privato,SI,SI,2683,2147,4830
2024-03-05,2024,PR-24-05407,CL-24-105407,Filiale 6,MINI,VEND_Filiale6_04,Mercedes,NUOVO,2024-02-14,0,52,Showroom,29,1-90,NO,>60000,164,Mercedes,Classe B,78190,NO,,,,0,Privato,NO,SI,782,5632,6414
2025-11-30,2025,PR-25-06558,CL-25-106558,Filiale 8,KIA,VEND_Filiale8_04,Hyundai,NUOVO,2025-11-18,0,21,Showroom,28,1-90,NO,<=60000,659,Hyundai,Santa Fe,52164,SI,MAXIRATA,FIN_AUTO_ONE,48.0,38295,Privato,NO,SI,1143,1576,2719
2025-09-20,2025,PR-25-06559,CL-25-106559,Filiale 6,MINI,VEND_Filiale6_04,Mercedes,KM0,2025-08-14,1,472,Showroom,74,1-90,NO,>60000,887,Mercedes,Classe C,94976,SI,LEASING,FIN_LEASE_GROUP,60.0,81488,Azienda,SI,SI,2084,2474,4558
2025-12-05,2025,PR-25-06560,CL-25-106560,Filiale 4,Mercedes,VEND_Filiale4_02,Mercedes,KM0,2025-10-25,1,1616,Showroom,136,90-150,NO,>60000,3127,Mercedes,Classe B,79411,SI,FINANZIAMENTO,FIN_AUTO_ONE,36.0,61386,Azienda,SI,SI,2625,290,2915
2025-12-05,2025,PR-25-06561,CL-25-106561,Filiale 4,Mercedes,VEND_Filiale4_05,MINI,USATO,2016-05-25,114,114818,Showroom,40,1-90,NO,<=60000,479,Mercedes,GLC,46604,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,39391,Azienda,SI,SI,2057,3256,5313
2025-11-04,2025,PR-25-06562,CL-25-106562,Filiale 6,MINI,VEND_Filiale6_05,Hyundai,NUOVO,2025-10-01,1,47,Lead,9,1-90,NO,<=60000,440,Hyundai,Santa Fe,54355,SI,MAXIRATA,FIN_AUTO_ONE,48.0,37282,Privato,SI,SI,1599,3146,4745
2024-04-14,2024,PR-24-05408,CL-24-105408,Filiale 4,Mercedes,VEND_Filiale4_04,Mercedes,NUOVO,2024-03-09,1,149,Lead,40,1-90,NO,<=60000,96,MINI,Cooper,31532,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,17347,Privato,NO,SI,1386,2508,3894
2025-07-14,2025,PR-25-06563,CL-25-106563,Filiale 4,Mercedes,VEND_Filiale4_02,Mercedes,NUOVO,2025-07-03,0,76,Showroom,23,1-90,NO,>60000,972,Mercedes,GLC,108455,SI,RENTING,FIN_MOBILITY,60.0,92518,Privato,SI,NO,1037,5637,6674
2025-06-28,2025,PR-25-06564,CL-25-106564,Filiale 7,KIA,VEND_Filiale7_04,Hyundai,USATO,2024-01-05,17,15619,Lead,61,1-90,NO,<=60000,546,Hyundai,i30,36568,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,36.0,22630,Privato,NO,NO,731,1470,2201
2025-03-28,2025,PR-25-06565,CL-25-106565,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,USATO,2023-03-25,23,40017,Showroom,35,1-90,NO,<=60000,402,Mercedes,Classe C,38821,NO,,,,0,Azienda,SI,SI,1736,2475,4211
2024-09-25,2024,PR-24-05409,CL-24-105409,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,NUOVO,2024-09-23,0,22,Lead,23,1-90,NO,>60000,701,Mercedes,Classe B,83529,SI,MAXIRATA,FIN_AUTO_ONE,36.0,64832,Privato,SI,SI,2998,3985,6983
2025-08-02,2025,PR-25-06566,CL-25-106566,Filiale 1,BMW,VEND_Filiale1_02,BMW,NUOVO,2025-07-14,0,132,B2B,35,1-90,NO,>60000,1518,BMW,X1,89798,SI,FINANZIAMENTO,FIN_AUTO_ONE,24.0,77669,Privato,NO,NO,819,4043,4862
2025-02-17,2025,PR-25-06567,CL-25-106567,Filiale 7,KIA,VEND_Filiale7_01,KIA,USATO,2022-11-15,26,45682,Web,7,1-90,NO,<=60000,490,KIA,Niro,51558,NO,,,,0,Privato,SI,NO,1128,5493,6621
2025-06-06,2025,PR-25-06568,CL-25-106568,Filiale 1,BMW,VEND_Filiale1_05,BMW,USATO,2020-07-01,59,62214,Showroom,18,1-90,NO,<=60000,368,BMW,X5,47770,NO,,,,0,Privato,NO,NO,66,4614,4680
2025-05-21,2025,PR-25-06569,CL-25-106569,Filiale 3,Mercedes,VEND_Filiale3_02,Mercedes,NUOVO,2025-05-13,0,88,Lead,17,1-90,NO,>60000,429,Mercedes,GLE,75104,NO,,,,0,Privato,SI,NO,653,4149,4802
2025-11-14,2025,PR-25-06570,CL-25-106570,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2025-10-25,0,161,B2B,16,1-90,NO,>60000,65,BMW,Serie 1,94218,SI,MAXIRATA,FIN_AUTO_ONE,48.0,60975,Privato,SI,SI,2504,6121,8625
2025-05-18,2025,PR-25-06571,CL-25-106571,Filiale 5,MINI,VEND_Filiale5_04,Hyundai,KM0,2025-04-04,1,1377,Web,24,1-90,NO,<=60000,777,MINI,Cooper S,31156,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,25125,Privato,SI,NO,2295,475,2770
2025-12-08,2025,PR-25-06572,CL-25-106572,Filiale 2,BMW,VEND_Filiale2_01,BMW,NUOVO,2025-11-29,0,114,Showroom,6,1-90,NO,>60000,211,BMW,Serie 1,67319,NO,,,,0,Privato,NO,SI,373,3149,3522
2024-09-24,2024,PR-24-05410,CL-24-105410,Filiale 3,Mercedes,VEND_Filiale3_06,MINI,NUOVO,2024-07-26,1,126,B2B,23,1-90,NO,>60000,914,Mercedes,GLC,73842,SI,RENTING,FIN_MOBILITY,48.0,53532,Azienda,NO,SI,1212,3613,4825
2025-07-02,2025,PR-25-06573,CL-25-106573,Filiale 8,KIA,VEND_Filiale8_01,KIA,NUOVO,2025-06-14,0,127,Lead,50,1-90,NO,<=60000,557,KIA,Stonic,44790,SI,MAXIRATA,FIN_AUTO_ONE,36.0,33195,Privato,NO,NO,420,2179,2599
2025-07-27,2025,PR-25-06574,CL-25-106574,Filiale 10,Hyundai,VEND_Filiale10_02,MINI,KM0,2025-06-18,1,1897,B2B,41,1-90,NO,<=60000,294,MINI,Cooper SE,46643,NO,,,,0,Privato,SI,SI,1586,1984,3570
2025-01-14,2025,PR-25-06575,CL-25-106575,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2024-11-29,1,162,Showroom,6,1-90,NO,>60000,511,BMW,X3,71614,SI,LEASING,FIN_LEASE_GROUP,60.0,59494,Privato,SI,NO,1974,2180,4154
2025-10-10,2025,PR-25-06576,CL-25-106576,Filiale 2,BMW,VEND_Filiale2_05,BMW,NUOVO,2025-09-06,1,177,Showroom,8,1-90,NO,<=60000,178,BMW,Serie 3,44136,NO,,,,0,Privato,SI,SI,2234,2129,4363
2025-09-28,2025,PR-25-06577,CL-25-106577,Filiale 6,MINI,VEND_Filiale6_02,MINI,KM0,2025-08-15,1,793,Showroom,77,1-90,NO,<=60000,352,MINI,Cooper S,28011,NO,,,,0,Privato,SI,NO,744,1311,2055
2024-11-11,2024,PR-24-05411,CL-24-105411,Filiale 4,Mercedes,VEND_Filiale4_05,MINI,KM0,2024-09-26,1,1082,Showroom,63,1-90,NO,>60000,2152,Mercedes,GLA,101227,NO,,,,0,Privato,SI,NO,809,1840,2649
2024-04-30,2024,PR-24-05412,CL-24-105412,Filiale 2,BMW,VEND_Filiale2_01,BMW,NUOVO,2024-04-16,0,81,B2B,24,1-90,NO,<=60000,395,BMW,X5,44445,NO,,,,0,Privato,NO,SI,639,2162,2801
2024-08-20,2024,PR-24-05413,CL-24-105413,Filiale 6,MINI,VEND_Filiale6_01,MINI,KM0,2024-07-16,1,1570,Web,62,1-90,NO,<=60000,1365,MINI,Cooper S,43803,SI,RENTING,FIN_MOBILITY,36.0,30794,Privato,SI,SI,2367,988,3355
2025-11-10,2025,PR-25-06578,CL-25-106578,Filiale 8,KIA,VEND_Filiale8_02,KIA,NUOVO,2025-10-05,1,175,Remarketing,18,1-90,NO,<=60000,265,MINI,Cooper S,35901,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,48.0,25440,Privato,NO,NO,538,1324,1862
2025-10-14,2025,PR-25-06579,CL-25-106579,Filiale 8,KIA,VEND_Filiale8_01,KIA,NUOVO,2025-10-06,0,99,Showroom,46,1-90,NO,<=60000,347,KIA,Sorento,35575,SI,LEASING,FIN_LEASE_GROUP,60.0,26538,Privato,SI,NO,1476,1195,2671
2025-01-08,2025,PR-25-06580,CL-25-106580,Filiale 4,Mercedes,VEND_Filiale4_02,Mercedes,NUOVO,2024-11-19,1,16,Lead,24,1-90,NO,<=60000,459,Mercedes,Classe B,33238,SI,FINANZIAMENTO,FIN_AUTO_ONE,24.0,21180,Azienda,NO,SI,1088,1370,2458
2025-12-16,2025,PR-25-06581,CL-25-106581,Filiale 7,KIA,VEND_Filiale7_02,KIA,NUOVO,2025-11-17,0,30,Web,17,1-90,NO,>60000,1105,BMW,Serie 2,91417,NO,,,,0,Privato,NO,NO,0,2905,2905
2024-11-17,2024,PR-24-05414,CL-24-105414,Filiale 6,MINI,VEND_Filiale6_05,Hyundai,USATO,2018-09-16,74,91858,Web,128,90-150,NO,<=60000,2140,Hyundai,i30,39052,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,30819,Privato,NO,SI,1705,1042,2747
